pokedex_number,name,generation,genus,type1,type2,base_happiness,height_m,weight_kg,hp,attack,defense,special-attack,special-defense,speed,abilities,evolves_from,pokedex_entry
623,Golurk,V,Automaton Pokémon,Ground,Ghost,70,2.8,330.0,89,124,80,55,80,55,"Iron Fist, Klutz, No Guard",Golett,Artillery platforms built into the walls of ancient castles served as perches from which Golurk could fire energy beams.
624,Pawniard,V,Sharp Blade Pokémon,Dark,Steel,35,0.5,10.2,45,85,70,40,40,60,"Defiant, Inner Focus, Pressure",,It uses river stones to maintain the cutting edges of the blades covering its body. These sharpened blades allow it to bring down opponents.
625,Bisharp,V,Sword Blade Pokémon,Dark,Steel,35,1.6,70.0,65,125,100,60,70,70,"Defiant, Inner Focus, Pressure",Pawniard,"It’s accompanied by a large retinue of Pawniard. Bisharp keeps a keen eye on its minions, ensuring none of them even think of double-crossing it."
626,Bouffalant,V,Bash Buffalo Pokémon,Normal,,70,1.6,94.6,95,110,95,40,95,55,"Reckless, Sap Sipper, Soundproof",,These Pokémon can crush a car with no more than a headbutt. Bouffalant with more hair on their heads hold higher positions within the herd.
627,Rufflet,V,Eaglet Pokémon,Normal,Flying,70,0.5,10.5,70,83,50,37,50,60,"Keen Eye, Sheer Force, Hustle",,"If it spies a strong Pokémon, Rufflet can’t resist challenging it to a battle. But if Rufflet loses, it starts bawling."
628,Braviary,V,Valiant Pokémon,Normal,Flying,70,1.5,41.0,100,123,75,57,75,80,"Keen Eye, Sheer Force, Defiant",Rufflet,"Known for its bravery and pride, this majestic Pokémon is often seen as a motif for various kinds of emblems."
629,Vullaby,V,Diapered Pokémon,Dark,Flying,35,0.5,9.0,70,55,75,45,65,60,"Big Pecks, Overcoat, Weak Armor",,It wears a bone to protect its rear. It often squabbles with others of its kind over particularly comfy bones.
630,Mandibuzz,V,Bone Vulture Pokémon,Dark,Flying,35,1.2,39.5,110,65,105,55,95,80,"Big Pecks, Overcoat, Weak Armor",Vullaby,"Although it’s a bit of a ruffian, this Pokémon will take lost Vullaby under its wing and care for them till they’re ready to leave the nest."
631,Heatmor,V,Anteater Pokémon,Fire,,70,1.4,58.0,85,97,66,105,66,65,"Gluttony, Flash Fire, White Smoke",,"There’s a hole in its tail that allows it to draw in the air it needs to keep its fire burning. If the hole gets blocked, this Pokémon will fall ill."
632,Durant,V,Iron Ant Pokémon,Bug,Steel,70,0.3,33.0,58,109,112,48,48,109,"Swarm, Hustle, Truant",,"They lay their eggs deep inside their nests. When attacked by Heatmor, they retaliate using their massive mandibles."
633,Deino,V,Irate Pokémon,Dark,Dragon,35,0.8,17.3,52,65,50,45,50,38,Hustle,,"When it encounters something, its first urge is usually to bite it. If it likes what it tastes, it will commit the associated scent to memory."
634,Zweilous,V,Hostile Pokémon,Dark,Dragon,35,1.4,50.0,72,85,70,65,70,58,Hustle,Deino,"While hunting for prey, Zweilous wanders its territory, its two heads often bickering over which way to go."
635,Hydreigon,V,Brutal Pokémon,Dark,Dragon,35,1.8,160.0,92,105,90,125,90,98,Levitate,Zweilous,There are a slew of stories about villages that were destroyed by Hydreigon. It bites anything that moves.
636,Larvesta,V,Torch Pokémon,Bug,Fire,70,1.1,28.8,55,85,55,50,55,60,"Flame Body, Swarm",,The people of ancient times believed that Larvesta fell from the sun.
637,Volcarona,V,Sun Pokémon,Bug,Fire,70,1.6,46.0,85,60,65,135,105,100,"Flame Body, Swarm",Larvesta,Volcarona scatters burning scales. Some say it does this to start fires. Others say it’s trying to rescue those that suffer in the cold.
638,Cobalion,V,Iron Will Pokémon,Steel,Fighting,35,2.1,250.0,91,90,129,90,72,108,Justified,,"This Pokémon appears in a legend alongside Terrakion and Virizion, fighting against humans in defense of the Unova region’s Pokémon."
639,Terrakion,V,Cavern Pokémon,Rock,Fighting,35,1.9,260.0,91,129,90,72,90,108,Justified,,It has phenomenal power. It will mercilessly crush anyone or anything that bullies small Pokémon.
640,Virizion,V,Grassland Pokémon,Grass,Fighting,35,2.0,200.0,91,90,72,90,129,108,Justified,,A legend tells of this Pokémon working together with Cobalion and Terrakion to protect the Pokémon of the Unova region.
641,Tornadus Incarnate,V,Cyclone Pokémon,Flying,,90,1.5,63.0,79,115,70,125,80,111,"Prankster, Defiant",,The lower half of its body is wrapped in a cloud of energy. It zooms through the sky at 200 mph.
642,Thundurus Incarnate,V,Bolt Strike Pokémon,Electric,Flying,90,1.5,61.0,79,115,70,125,80,111,"Prankster, Defiant",,The spikes on its tail discharge immense bolts of lightning. It flies around the Unova region firing off lightning bolts.
643,Reshiram,V,Vast White Pokémon,Dragon,Fire,0,3.2,330.0,100,120,100,150,120,90,Turboblaze,,Flames spew from its tail as it flies through the sky like a jet airplane. It’s said that this Pokémon will scorch the world.
644,Zekrom,V,Deep Black Pokémon,Dragon,Electric,0,2.9,345.0,100,150,120,120,100,90,Teravolt,,"When the interior part of its tail spins like a motor, Zekrom can generate many bolts of lightning to blast its surroundings."
645,Landorus Incarnate,V,Abundance Pokémon,Ground,Flying,90,1.5,68.0,89,125,90,115,80,101,"Sand Force, Sheer Force",,Lands visited by Landorus grant such bountiful crops that it has been hailed as “The Guardian of the Fields.”
646,Kyurem,V,Boundary Pokémon,Dragon,Ice,0,3.0,325.0,125,130,90,130,90,95,Pressure,,"Dwelling within it is a power even greater than that of Reshiram or Zekrom, but the extreme cold keeps that power bound."
647,Keldeo Ordinary,V,Colt Pokémon,Water,Fighting,35,1.4,48.5,91,72,90,129,90,108,Justified,,"Cobalion, Terrakion, and Virizion taught this Pokémon how to fight. It dashes across the world, seeking more opportunities to further its training."
648,Meloetta Aria,V,Melody Pokémon,Normal,Psychic,100,0.6,6.5,100,77,77,128,128,90,Serene Grace,,The melodies sung by Meloetta have the power to make Pokémon that hear them happy or sad.
649,Genesect,V,Paleozoic Pokémon,Bug,Steel,0,1.5,82.5,71,120,95,120,95,99,Download,,This ancient bug Pokémon was altered by Team Plasma. They upgraded the cannon on its back.
650,Chespin,VI,Spiny Nut Pokémon,Grass,,70,0.4,9.0,56,61,65,48,45,38,"Overgrow, Bulletproof",,"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock."
651,Quilladin,VI,Spiny Armor Pokémon,Grass,,70,0.7,29.0,61,78,95,56,58,57,"Overgrow, Bulletproof",Chespin,It relies on its sturdy shell to deflect predators’ attacks. It counterattacks with its sharp quills.
652,Chesnaught,VI,Spiny Armor Pokémon,Grass,Fighting,70,1.6,90.0,88,107,122,74,75,64,"Overgrow, Bulletproof",Quilladin,Its Tackle is forceful enough to flip a 50-ton tank. It shields its allies from danger with its own body.
653,Fennekin,VI,Fox Pokémon,Fire,,70,0.4,9.4,40,45,40,62,60,60,"Blaze, Magician",,"Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit."
654,Braixen,VI,Fox Pokémon,Fire,,70,1.0,14.5,59,59,58,90,70,73,"Blaze, Magician",Fennekin,"It has a twig stuck in its tail. With friction from its tail fur, it sets the twig on fire and launches into battle."
655,Delphox,VI,Fox Pokémon,Fire,Psychic,70,1.5,39.0,75,69,72,114,100,104,"Blaze, Magician",Braixen,"It gazes into the flame at the tip of its branch to achieve a focused state, which allows it to see into the future."
656,Froakie,VI,Bubble Frog Pokémon,Water,,70,0.3,7.0,41,56,40,62,44,71,"Torrent, Protean",,It secretes flexible bubbles from its chest and back. The bubbles reduce the damage it would otherwise take when attacked.
657,Frogadier,VI,Bubble Frog Pokémon,Water,,70,0.6,10.9,54,63,52,83,56,97,"Torrent, Protean",Froakie,"It can throw bubble-covered pebbles with precise control, hitting empty cans up to a hundred feet away."
658,Greninja,VI,Ninja Pokémon,Water,Dark,70,1.5,40.0,72,95,67,103,71,122,"Torrent, Protean",Frogadier,"It creates throwing stars out of compressed water. When it spins them and throws them at high speed, these stars can split metal in two."
659,Bunnelby,VI,Digging Pokémon,Normal,,70,0.4,5.0,38,36,38,32,36,57,"Pickup, Cheek Pouch, Huge Power",,"It excels at digging holes. Using its ears, it can dig a nest 33 feet deep in one night."
660,Diggersby,VI,Digging Pokémon,Normal,Ground,70,1.0,42.4,85,56,77,50,77,78,"Pickup, Cheek Pouch, Huge Power",Bunnelby,"With power equal to an excavator, it can dig through dense bedrock. It’s a huge help during tunnel construction."
661,Fletchling,VI,Tiny Robin Pokémon,Normal,Flying,70,0.3,1.7,45,50,43,40,38,62,"Big Pecks, Gale Wings",,Its melodious cries are actually warnings. Fletchling will mercilessly peck at anything that enters its territory.
662,Fletchinder,VI,Ember Pokémon,Fire,Flying,70,0.7,16.0,62,73,55,56,52,84,"Flame Body, Gale Wings",Fletchling,"Fletchinder launches embers into the den of its prey. When the prey comes leaping out, Fletchinder’s sharp talons finish it off."
663,Talonflame,VI,Scorching Pokémon,Fire,Flying,70,1.2,24.5,78,81,71,74,69,126,"Flame Body, Gale Wings",Fletchinder,"Talonflame mainly preys upon other bird Pokémon. To intimidate opponents, it sends embers spewing from gaps between its feathers."
664,Scatterbug,VI,Scatterdust Pokémon,Bug,,70,0.3,2.5,38,35,40,27,25,35,"Shield Dust, Compound Eyes, Friend Guard",,"When under attack from bird Pokémon, it spews a poisonous black powder that causes paralysis on contact."
665,Spewpa,VI,Scatterdust Pokémon,Bug,,70,0.3,8.4,45,22,60,27,30,29,"Shed Skin, Friend Guard",Scatterbug,"It lives hidden within thicket shadows. When predators attack, it quickly bristles the fur covering its body in an effort to threaten them."
666,Vivillon,VI,Scale Pokémon,Bug,Flying,70,1.2,17.0,80,52,50,90,50,89,"Shield Dust, Compound Eyes, Friend Guard",Spewpa,Vivillon with many different patterns are found all over the world. These patterns are affected by the climate of their habitat.
667,Litleo,VI,Lion Cub Pokémon,Fire,Normal,70,0.6,13.5,62,50,58,73,54,72,"Rivalry, Unnerve, Moxie",,"The stronger the opponent it faces, the more heat surges from its mane and the more power flows through its body."
668,Pyroar,VI,Royal Pokémon,Fire,Normal,70,1.5,81.5,86,68,72,109,66,106,"Rivalry, Unnerve, Moxie",Litleo,The male with the largest mane of fire is the leader of the pride.
669,Flabebe,VI,Single Bloom Pokémon,Fairy,,70,0.1,0.1,44,38,39,61,79,42,"Flower Veil, Symbiosis",,It draws out and controls the hidden power of flowers. The flower Flabébé holds is most likely part of its body.
670,Floette,VI,Single Bloom Pokémon,Fairy,,70,0.2,0.9,54,45,47,75,98,52,"Flower Veil, Symbiosis",Flabebe,It flutters around fields of flowers and cares for flowers that are starting to wilt. It draws out the hidden power of flowers to battle.
671,Florges,VI,Garden Pokémon,Fairy,,70,1.1,10.0,78,65,68,112,154,75,"Flower Veil, Symbiosis",Floette,"It claims exquisite flower gardens as its territory, and it obtains power from basking in the energy emitted by flowering plants."
672,Skiddo,VI,Mount Pokémon,Grass,,70,0.9,31.0,66,65,48,62,57,52,"Sap Sipper, Grass Pelt",,"Thought to be one of the first Pokémon to live in harmony with humans, it has a placid disposition."
673,Gogoat,VI,Mount Pokémon,Grass,,70,1.7,91.0,123,100,62,97,81,68,"Sap Sipper, Grass Pelt",Skiddo,It can tell how its Trainer is feeling by subtle shifts in the grip on its horns. This empathic sense lets them run as if one being.
674,Pancham,VI,Playful Pokémon,Fighting,,70,0.6,8.0,67,82,62,46,48,43,"Iron Fist, Mold Breaker, Scrappy",,It chooses a Pangoro as its master and then imitates its master’s actions. This is how it learns to battle and hunt for prey.
675,Pangoro,VI,Daunting Pokémon,Fighting,Dark,70,2.1,136.0,95,124,78,69,71,58,"Iron Fist, Mold Breaker, Scrappy",Pancham,"This Pokémon is quick to anger, and it has no problem using its prodigious strength to get its way. It lives for duels against Obstagoon."
676,Furfrou,VI,Poodle Pokémon,Normal,,70,1.2,28.0,75,80,60,65,90,102,Fur Coat,,Trimming its fluffy fur not only makes it more elegant but also increases the swiftness of its movements.
677,Espurr,VI,Restraint Pokémon,Psychic,,70,0.3,3.5,62,48,54,63,60,68,"Keen Eye, Infiltrator, Own Tempo",,"Though Espurr’s expression never changes, behind that blank stare is an intense struggle to contain its devastating psychic power."
678,Meowstic Male,VI,Constraint Pokémon,Psychic,,70,0.6,8.5,74,48,76,83,81,104,"Keen Eye, Infiltrator, Prankster",Espurr,"Revealing the eyelike patterns on the insides of its ears will unleash its psychic powers. It normally keeps the patterns hidden, however."
679,Honedge,VI,Sword Pokémon,Steel,Ghost,70,0.8,2.0,45,80,100,35,37,28,No Guard,,Honedge’s soul once belonged to a person who was killed a long time ago by the sword that makes up Honedge’s body.
680,Doublade,VI,Sword Pokémon,Steel,Ghost,70,0.8,4.5,59,110,150,45,49,35,No Guard,Honedge,Honedge evolves into twins. The two blades rub together to emit a metallic sound that unnerves opponents.
681,Aegislash Shield,VI,Royal Sword Pokémon,Steel,Ghost,70,1.7,53.0,60,50,140,50,140,60,Stance Change,Doublade,"In this defensive stance, Aegislash uses its steel body and a force field of spectral power to reduce the damage of any attack."
682,Spritzee,VI,Perfume Pokémon,Fairy,,70,0.2,0.5,78,52,60,63,65,23,"Healer, Aroma Veil",,A scent pouch within this Pokémon’s body allows it to create various scents. A change in its diet will alter the fragrance it produces.
683,Aromatisse,VI,Fragrance Pokémon,Fairy,,70,0.8,15.5,101,72,72,99,89,29,"Healer, Aroma Veil",Spritzee,The scent that constantly emits from its fur is so powerful that this Pokémon’s companions will eventually lose their sense of smell.
684,Swirlix,VI,Cotton Candy Pokémon,Fairy,,70,0.4,3.5,62,48,66,59,57,49,"Sweet Veil, Unburden",,"It eats its own weight in sugar every day. If it doesn’t get enough sugar, it becomes incredibly grumpy."
685,Slurpuff,VI,Meringue Pokémon,Fairy,,70,0.8,5.0,82,80,86,85,75,72,"Sweet Veil, Unburden",Swirlix,"By taking in a person’s scent, it can sniff out their mental and physical condition. It’s hoped that this skill will have many medical applications."
686,Inkay,VI,Revolving Pokémon,Dark,Psychic,70,0.4,3.5,53,54,53,37,46,45,"Contrary, Suction Cups, Infiltrator",,It spins while making its luminescent spots flash. These spots allow it to communicate with others by using different patterns of light.
687,Malamar,VI,Overturning Pokémon,Dark,Psychic,70,1.5,47.0,86,92,88,68,75,73,"Contrary, Suction Cups, Infiltrator",Inkay,"Gazing at its luminescent spots will quickly induce a hypnotic state, putting the observer under Malamar’s control."
688,Binacle,VI,Two-Handed Pokémon,Rock,Water,70,0.5,31.0,42,52,67,39,56,50,"Tough Claws, Sniper, Pickpocket",,"After two Binacle find a suitably sized rock, they adhere themselves to it and live together. They cooperate to gather food during high tide."
689,Barbaracle,VI,Collective Pokémon,Rock,Water,70,1.3,96.0,72,105,115,54,86,68,"Tough Claws, Sniper, Pickpocket",Binacle,Seven Binacle come together to form one Barbaracle. The Binacle that serves as the head gives orders to those serving as the limbs.
690,Skrelp,VI,Mock Kelp Pokémon,Poison,Water,70,0.5,7.3,50,60,60,60,60,30,"Poison Point, Poison Touch, Adaptability",,"It drifts in the ocean, blending in with floating seaweed. When other Pokémon come to feast on the seaweed, Skrelp feasts on them instead."
691,Dragalge,VI,Mock Kelp Pokémon,Poison,Dragon,70,1.8,81.5,65,75,90,97,123,44,"Poison Point, Poison Touch, Adaptability",Skrelp,Dragalge uses a poisonous liquid capable of corroding metal to send tankers that enter its territory to the bottom of the sea.
692,Clauncher,VI,Water Gun Pokémon,Water,,70,0.5,8.3,50,53,62,58,63,44,Mega Launcher,,"Clauncher’s claws can fall off during battle, but they’ll regenerate. The meat inside the claws is popular as a delicacy in Galar."
693,Clawitzer,VI,Howitzer Pokémon,Water,,70,1.3,35.3,71,73,88,120,89,59,Mega Launcher,Clauncher,"After using the feelers on its oversized claw to detect the location of prey, Clawitzer launches a cannonball of water at its target."
694,Helioptile,VI,Generator Pokémon,Electric,Normal,70,0.5,6.0,44,38,33,61,43,70,"Dry Skin, Sand Veil, Solar Power",,"When spread, the frills on its head act like solar panels, generating the power behind this Pokémon’s electric moves."
695,Heliolisk,VI,Generator Pokémon,Electric,Normal,70,1.0,21.0,62,55,52,109,94,109,"Dry Skin, Sand Veil, Solar Power",Helioptile,"A now-vanished desert culture treasured these Pokémon. Appropriately, when Heliolisk came to the Galar region, treasure came with them."
696,Tyrunt,VI,Royal Heir Pokémon,Rock,Dragon,70,0.8,26.0,58,89,77,45,45,48,"Strong Jaw, Sturdy",,"This is an ancient Pokémon, revived in modern times. It has a violent disposition, and it’ll tear apart anything it gets between its hefty jaws."
697,Tyrantrum,VI,Despot Pokémon,Rock,Dragon,70,2.5,270.0,82,121,119,69,59,71,"Strong Jaw, Rock Head",Tyrunt,"This Pokémon is from about 100,000,000 years ago. It has the presence of a king, vicious but magnificent."
698,Amaura,VI,Tundra Pokémon,Rock,Ice,70,1.3,25.2,77,59,50,67,63,46,"Refrigerate, Snow Warning",,"This Pokémon was successfully restored from a fossil. In the past, it lived with others of its kind in cold lands where there were fewer predators."
699,Aurorus,VI,Tundra Pokémon,Rock,Ice,70,2.7,225.0,123,77,72,99,92,58,"Refrigerate, Snow Warning",Amaura,"Aurorus was restored from a fossil. It’s said that when this Pokémon howls, auroras appear in the night sky."
700,Sylveon,VI,Intertwining Pokémon,Fairy,,70,1.0,23.5,95,65,65,110,130,60,"Cute Charm, Pixilate",Eevee,"By releasing enmity-erasing waves from its ribbonlike feelers, Sylveon stops any conflict."
701,Hawlucha,VI,Wrestling Pokémon,Fighting,Flying,70,0.8,21.5,78,92,75,74,63,118,"Limber, Unburden, Mold Breaker",,"It drives its opponents to exhaustion with its agile maneuvers, then ends the fight with a flashy finishing move."
702,Dedenne,VI,Antenna Pokémon,Electric,Fairy,70,0.2,2.2,67,58,57,81,67,101,"Cheek Pouch, Pickup, Plus",,A Dedenne’s whiskers pick up electrical waves other Dedenne send out. These Pokémon share locations of food or electricity with one another.
703,Carbink,VI,Jewel Pokémon,Rock,Fairy,70,0.3,5.7,50,50,150,50,150,50,"Clear Body, Sturdy",,"When beset by attackers, Carbink wipes them all out by firing high-energy beams from the gems embedded in its body."
704,Goomy,VI,Soft Tissue Pokémon,Dragon,,35,0.3,2.8,45,50,35,55,75,40,"Sap Sipper, Hydration, Gooey",,"Because most of its body is water, it will dry up if the weather becomes too arid. It’s considered the weakest dragon Pokémon."
705,Sliggoo,VI,Soft Tissue Pokémon,Dragon,,35,0.8,17.5,68,75,53,83,113,60,"Sap Sipper, Hydration, Gooey",Goomy,"Although this Pokémon isn’t very strong, its body is coated in a caustic slime that can melt through anything, so predators steer clear of it."
706,Goodra,VI,Dragon Pokémon,Dragon,,35,2.0,150.5,90,100,70,110,150,80,"Sap Sipper, Hydration, Gooey",Sliggoo,"Sometimes it misunderstands instructions and appears dazed or bewildered. Many Trainers don’t mind, finding this behavior to be adorable."
707,Klefki,VI,Key Ring Pokémon,Steel,Fairy,70,0.2,3.0,57,80,91,80,87,75,"Prankster, Magician",,"This Pokémon is constantly collecting keys. Entrust a Klefki with important keys, and the Pokémon will protect them no matter what."
708,Phantump,VI,Stump Pokémon,Ghost,Grass,70,0.4,7.0,43,70,48,50,60,38,"Natural Cure, Frisk, Harvest",,"After a lost child perished in the forest, their spirit possessed a tree stump, causing the spirit’s rebirth as this Pokémon."
709,Trevenant,VI,Elder Tree Pokémon,Ghost,Grass,70,1.5,71.0,85,110,76,65,82,56,"Natural Cure, Frisk, Harvest",Phantump,"People fear it due to a belief that it devours any who try to cut down trees in its forest, but to the Pokémon it shares its woods with, it’s kind."
710,Pumpkaboo Average,VI,Pumpkin Pokémon,Ghost,Grass,70,0.4,5.0,49,66,70,44,55,51,"Pickup, Frisk, Insomnia",,Spirits that wander this world are placed into Pumpkaboo’s body. They’re then moved on to the afterlife.
711,Gourgeist Average,VI,Pumpkin Pokémon,Ghost,Grass,70,0.9,12.5,65,90,122,58,75,84,"Pickup, Frisk, Insomnia",Pumpkaboo,Eerie cries emanate from its body in the dead of night. The sounds are said to be the wails of spirits who are suffering in the afterlife.
712,Bergmite,VI,Ice Chunk Pokémon,Ice,,70,1.0,99.5,55,69,85,32,35,28,"Own Tempo, Ice Body, Sturdy",,"They chill the air around them to −150 degrees Fahrenheit, freezing the water in the air into ice that they use as armor."
713,Avalugg,VI,Iceberg Pokémon,Ice,,70,2.0,505.0,95,117,184,44,46,28,"Own Tempo, Ice Body, Sturdy",Bergmite,"At high latitudes, this Pokémon can be found with clusters of Bergmite on its back as it swims among the icebergs."
714,Noibat,VI,Sound Wave Pokémon,Flying,Dragon,70,0.5,8.0,40,30,35,45,40,55,"Frisk, Infiltrator, Telepathy",,"After nightfall, they emerge from the caves they nest in during the day. Using their ultrasonic waves, they go on the hunt for ripened fruit."
715,Noivern,VI,Sound Wave Pokémon,Flying,Dragon,70,1.5,85.0,85,70,80,97,80,123,"Frisk, Infiltrator, Telepathy",Noibat,"Aggressive and cruel, this Pokémon will ruthlessly torment enemies that are helpless in the dark."
716,Xerneas,VI,Life Pokémon,Fairy,,0,3.0,215.0,126,131,95,131,98,99,Fairy Aura,,Legends say it can share eternal life. It slept for a thousand years in the form of a tree before its revival.
717,Yveltal,VI,Destruction Pokémon,Dark,Flying,0,5.8,203.0,126,131,95,131,98,99,Dark Aura,,"When this legendary Pokémon’s wings and tail feathers spread wide and glow red, it absorbs the life force of living creatures."
718,Zygarde 50,VI,Order Pokémon,Dragon,Ground,0,5.0,305.0,108,100,121,81,95,95,Aura Break,,"This is Zygarde’s form when it has gathered 50% of its cells. It wipes out all those who oppose it, showing not a shred of mercy."
719,Diancie,VI,Jewel Pokémon,Rock,Fairy,70,0.7,8.8,50,100,150,100,150,50,Clear Body,,"A sudden transformation of Carbink, its pink, glimmering body is said to be the loveliest sight in the whole world."
720,Hoopa,VI,Mischief Pokémon,Psychic,Ghost,100,0.5,9.0,80,110,60,150,130,70,Magician,,"This troublemaker sends anything and everything to faraway places using its loop, which can warp space."
721,Volcanion,VI,Steam Pokémon,Fire,Water,100,1.7,195.0,80,110,120,130,90,70,Water Absorb,,It lets out billows of steam and disappears into the dense fog. It’s said to live in mountains where humans do not tread.
722,Rowlet,VII,Grass Quill Pokémon,Grass,Flying,70,0.3,1.5,68,55,55,50,50,42,"Overgrow, Long Reach",,"At a distance, it launches its sharp feathers while flying about. If the enemy gets too close, Rowlet switches tactics and delivers vicious kicks."
723,Dartrix,VII,Blade Quill Pokémon,Grass,Flying,70,0.7,16.0,78,75,75,70,70,52,"Overgrow, Long Reach",Rowlet,"It throws one knifelike feather after another at its enemies, and each one precisely strikes a weak point. These feathers are known as blade quills."
724,Decidueye,VII,Arrow Quill Pokémon,Grass,Ghost,70,1.6,36.6,78,107,75,100,100,70,"Overgrow, Long Reach",Dartrix,"As if wielding a bow, it launches the arrow quills hidden among the feathers of its wings. Decidueye’s shots never miss."
725,Litten,VII,Fire Cat Pokémon,Fire,,70,0.4,4.3,45,65,40,60,40,70,"Blaze, Intimidate",,It spends even the smallest amount of downtime grooming its fur with its tongue. Loose fur gathers in its stomach and serves as fuel for fiery moves.
726,Torracat,VII,Fire Cat Pokémon,Fire,,70,0.7,25.0,65,85,50,80,50,90,"Blaze, Intimidate",Litten,"In the midst of battle, the fire pouch on Torracat’s neck rings like a bell and produces stronger flames than usual."
727,Incineroar,VII,Heel Pokémon,Fire,Dark,70,1.8,83.0,95,115,90,80,90,60,"Blaze, Intimidate",Torracat,"It excels at violent, no-holds-barred battles. The temperature of the flames that issue from its navel exceeds 3,600 degrees Fahrenheit."
728,Popplio,VII,Sea Lion Pokémon,Water,,70,0.4,7.5,50,54,54,66,56,40,"Torrent, Liquid Voice",,"It creates special bouncy balloons to send at its opponents. When the balloons pop, the sheer force of their bursting is what deals damage."
729,Brionne,VII,Pop Star Pokémon,Water,,70,0.6,17.5,60,69,69,91,81,50,"Torrent, Liquid Voice",Popplio,"As if dancing, it artfully dodges the attacks of its enemies. All the while, it’s busy forming a bunch of balloons to overwhelm its foes."
730,Primarina,VII,Soloist Pokémon,Water,Fairy,70,1.8,44.0,80,74,74,126,116,60,"Torrent, Liquid Voice",Brionne,"With its mouth, it makes sonic waves that sound like beautiful singing. It uses the sonic waves to control its water balloons."
731,Pikipek,VII,Woodpecker Pokémon,Normal,Flying,70,0.3,1.2,35,75,30,30,30,65,"Keen Eye, Skill Link, Pickup",,It can peck at a rate of 16 times a second to drill holes in trees. It uses the holes for food storage and for nesting.
732,Trumbeak,VII,Bugle Beak Pokémon,Normal,Flying,70,0.6,14.8,55,85,50,40,50,75,"Keen Eye, Skill Link, Pickup",Pikipek,"It eats berries and stores their seeds in its beak. When it encounters enemies or prey, it fires off all the seeds in a burst."
733,Toucannon,VII,Cannon Pokémon,Normal,Flying,70,1.1,26.0,80,120,75,75,75,60,"Keen Eye, Skill Link, Sheer Force",Trumbeak,"When it battles, its beak heats up. The temperature can easily exceed 212 degrees Fahrenheit, causing severe burns when it hits."
734,Yungoos,VII,Loitering Pokémon,Normal,,70,0.4,6.0,48,70,30,30,30,45,"Stakeout, Strong Jaw, Adaptability",,"With its sharp fangs, it will bite anything. It did not originally live in Alola but was imported from another region."
735,Gumshoos,VII,Stakeout Pokémon,Normal,,70,0.7,14.2,88,110,60,55,60,45,"Stakeout, Strong Jaw, Adaptability",Yungoos,"When it finds a trace of its prey, it patiently stakes out the location...but it’s always snoozing by nightfall."
736,Grubbin,VII,Larva Pokémon,Bug,,70,0.4,4.4,47,62,45,55,45,46,Swarm,,"Its natural enemies, like Rookidee, may flee rather than risk getting caught in its large mandibles that can snap thick tree branches."
737,Charjabug,VII,Battery Pokémon,Bug,Electric,70,0.5,10.5,57,82,95,55,75,36,Battery,Grubbin,"While its durable shell protects it from attacks, Charjabug strikes at enemies with jolts of electricity discharged from the tips of its jaws."
738,Vikavolt,VII,Stag Beetle Pokémon,Bug,Electric,70,1.5,45.0,77,70,90,145,75,43,Levitate,Charjabug,"It builds up electricity in its abdomen, focuses it through its jaws, and then fires the electricity off in concentrated beams."
739,Crabrawler,VII,Boxing Pokémon,Fighting,,70,0.6,7.0,47,82,57,42,47,63,"Hyper Cutter, Iron Fist, Anger Point",,"While guarding its weak points with its pincers, it looks for an opening and unleashes punches. When it loses, it foams at the mouth and faints."
740,Crabominable,VII,Woolly Crab Pokémon,Fighting,Ice,70,1.7,180.0,97,132,77,62,67,43,"Hyper Cutter, Iron Fist, Anger Point",Crabrawler,"It aimed for the top but got lost and ended up on a snowy mountain. Being forced to endure the cold, this Pokémon evolved and grew fur."
741,Oricorio Baile,VII,Dancing Pokémon,Fire,Flying,70,0.6,3.4,75,70,70,98,70,93,Dancer,,"It beats its wings together to create fire. As it moves in the steps of its beautiful dance, it bathes opponents in intense flames."
742,Cutiefly,VII,Bee Fly Pokémon,Bug,Fairy,70,0.1,0.2,40,45,40,55,40,84,"Honey Gather, Shield Dust, Sweet Veil",,"Nectar and pollen are its favorite fare. You can find Cutiefly hovering around Gossifleur, trying to get some of Gossifleur’s pollen."
743,Ribombee,VII,Bee Fly Pokémon,Bug,Fairy,70,0.2,0.5,60,55,60,95,70,124,"Honey Gather, Shield Dust, Sweet Veil",Cutiefly,It makes pollen puffs from pollen and nectar. The puffs’ effects depend on the type of ingredients and how much of each one is used.
744,Rockruff,VII,Puppy Pokémon,Rock,,70,0.5,9.2,45,65,40,30,40,60,"Keen Eye, Vital Spirit, Steadfast",,"This Pokémon can bond very strongly with its Trainer, but it also has a habit of biting. Raising a Rockruff for a long time can be challenging."
745,Lycanroc Midday,VII,Wolf Pokémon,Rock,,70,0.8,25.0,75,115,65,55,65,112,"Keen Eye, Sand Rush, Steadfast",Rockruff,This Lycanroc is calm and cautious. The rocks jutting from its mane are razor sharp.
746,Wishiwashi Solo,VII,Small Fry Pokémon,Water,,70,0.2,0.3,45,20,20,25,25,40,Schooling,,"Individually, they’re incredibly weak. It’s by gathering up into schools that they’re able to confront opponents."
